name,model_setting
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,3
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,3
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,3
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,6
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,3
009_NAB_id_9_Traffic_tr_500_1st_438.csv,2
010_NAB_id_10_WebService_tr_500_1st_271.csv,4
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,5
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,3
014_NAB_id_14_WebService_tr_500_1st_1045.csv,2
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,6
016_NAB_id_16_Environment_tr_1816_1st_3540.csv,4
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,5
018_NAB_id_18_Facility_tr_500_1st_669.csv,2
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,3
020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,4
022_NAB_id_22_Facility_tr_1007_1st_2980.csv,1
023_NAB_id_23_Facility_tr_4512_1st_16551.csv,5
024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,3
025_NAB_id_25_WebService_tr_3958_1st_4614.csv,2
026_NAB_id_26_Traffic_tr_624_1st_2261.csv,1
027_NAB_id_27_Facility_tr_757_1st_2582.csv,1
028_NAB_id_28_Facility_tr_1007_1st_3447.csv,3
032_WSD_id_4_WebService_tr_4559_1st_11822.csv,4
039_WSD_id_11_WebService_tr_1746_1st_1846.csv,3
040_WSD_id_12_WebService_tr_4559_1st_9714.csv,3
043_WSD_id_15_WebService_tr_4521_1st_6828.csv,3
049_WSD_id_21_WebService_tr_4297_1st_7097.csv,4
054_WSD_id_26_WebService_tr_2409_1st_2509.csv,3
058_WSD_id_30_WebService_tr_1136_1st_1236.csv,1
060_WSD_id_32_WebService_tr_4576_1st_4766.csv,4
068_WSD_id_40_WebService_tr_4549_1st_13322.csv,4
074_WSD_id_46_WebService_tr_990_1st_1090.csv,3
089_WSD_id_61_WebService_tr_1010_1st_1110.csv,1
094_WSD_id_66_WebService_tr_3309_1st_3914.csv,4
099_WSD_id_71_WebService_tr_4559_1st_14411.csv,4
106_WSD_id_78_WebService_tr_3363_1st_3463.csv,3
113_WSD_id_85_WebService_tr_500_1st_335.csv,3
117_WSD_id_89_WebService_tr_3251_1st_3351.csv,1
125_WSD_id_97_WebService_tr_2217_1st_2317.csv,1
130_WSD_id_102_WebService_tr_2362_1st_2462.csv,4
137_WSD_id_109_WebService_tr_4559_1st_14404.csv,4
139_WSD_id_111_WebService_tr_1701_1st_1801.csv,2
140_MSL_id_1_Sensor_tr_530_1st_630.csv,2
141_MSL_id_2_Sensor_tr_500_1st_550.csv,2
143_MSL_id_4_Sensor_tr_980_1st_3550.csv,2
144_MSL_id_5_Sensor_tr_1525_1st_4590.csv,6
145_MSL_id_6_Sensor_tr_530_1st_630.csv,3
147_MSL_id_8_Sensor_tr_590_1st_690.csv,1
148_MSL_id_9_Sensor_tr_883_1st_1238.csv,5
149_Stock_id_1_Finance_tr_500_1st_7.csv,2
151_Stock_id_3_Finance_tr_500_1st_62.csv,1
155_Stock_id_7_Finance_tr_500_1st_18.csv,2
156_Stock_id_8_Finance_tr_500_1st_24.csv,2
160_Stock_id_12_Finance_tr_500_1st_14.csv,3
162_Stock_id_14_Finance_tr_500_1st_4.csv,3
165_Stock_id_17_Finance_tr_500_1st_7.csv,6
166_Stock_id_18_Finance_tr_500_1st_18.csv,5
169_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,4
170_MITDB_id_1_Medical_tr_17675_1st_17775.csv,4
171_MITDB_id_2_Medical_tr_50000_1st_88864.csv,1
172_MITDB_id_3_Medical_tr_27274_1st_27374.csv,4
173_MITDB_id_4_Medical_tr_13620_1st_13720.csv,6
175_MITDB_id_6_Medical_tr_27274_1st_27374.csv,2
176_MITDB_id_7_Medical_tr_6232_1st_6332.csv,3
177_MITDB_id_8_Medical_tr_17675_1st_17775.csv,4
178_SMD_id_1_Facility_tr_6000_1st_10609.csv,1
179_SMD_id_2_Facility_tr_5925_1st_17580.csv,3
180_SMD_id_3_Facility_tr_5925_1st_17580.csv,1
181_SMD_id_4_Facility_tr_5000_1st_15144.csv,5
183_SMD_id_6_Facility_tr_5925_1st_17580.csv,3
184_SMD_id_7_Facility_tr_7119_1st_15849.csv,1
185_SMD_id_8_Facility_tr_5000_1st_15144.csv,5
187_SMD_id_10_Facility_tr_5000_1st_15849.csv,2
188_SMD_id_11_Facility_tr_500_1st_392.csv,3
189_SMD_id_12_Facility_tr_5925_1st_17580.csv,3
190_SMD_id_13_Facility_tr_7119_1st_15849.csv,3
191_SMD_id_14_Facility_tr_4596_1st_4696.csv,4
192_SMD_id_15_Facility_tr_5925_1st_17580.csv,1
194_SMD_id_17_Facility_tr_5925_1st_17580.csv,2
195_SMD_id_18_Facility_tr_5925_1st_17580.csv,3
196_SMD_id_19_Facility_tr_7174_1st_21230.csv,2
197_SMD_id_20_Facility_tr_5000_1st_15144.csv,5
198_SMD_id_21_Facility_tr_5925_1st_17580.csv,2
199_SMD_id_22_Facility_tr_5925_1st_17580.csv,1
201_SMD_id_24_Facility_tr_7174_1st_21230.csv,2
202_SMD_id_25_Facility_tr_6250_1st_21230.csv,1
203_SMD_id_26_Facility_tr_7174_1st_21230.csv,3
204_SMD_id_27_Facility_tr_5000_1st_15144.csv,5
205_SMD_id_28_Facility_tr_5925_1st_17580.csv,3
206_SMD_id_29_Facility_tr_6250_1st_21230.csv,4
207_SMD_id_30_Facility_tr_7174_1st_21230.csv,1
208_SMD_id_31_Facility_tr_5000_1st_15144.csv,1
209_SMD_id_32_Facility_tr_5925_1st_17580.csv,1
211_SMD_id_34_Facility_tr_5925_1st_17580.csv,1
212_SMD_id_35_Facility_tr_5925_1st_17580.csv,3
213_SMD_id_36_Facility_tr_5925_1st_17580.csv,4
214_SMD_id_37_Facility_tr_5925_1st_17580.csv,3
215_SMD_id_38_Facility_tr_5925_1st_17580.csv,3
216_LTDB_id_1_Medical_tr_500_1st_266.csv,5
218_LTDB_id_3_Medical_tr_500_1st_266.csv,5
219_LTDB_id_4_Medical_tr_3618_1st_3718.csv,5
220_LTDB_id_5_Medical_tr_500_1st_26.csv,2
221_LTDB_id_6_Medical_tr_500_1st_26.csv,2
222_LTDB_id_7_Medical_tr_3618_1st_3718.csv,2
223_LTDB_id_8_Medical_tr_4456_1st_4556.csv,6
224_LTDB_id_9_Medical_tr_4456_1st_4556.csv,5
225_MGAB_id_1_Synthetic_tr_25000_1st_38478.csv,4
226_MGAB_id_2_Synthetic_tr_20000_1st_45134.csv,5
227_MGAB_id_3_Synthetic_tr_25000_1st_44340.csv,2
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,5
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,1
231_MGAB_id_7_Synthetic_tr_25000_1st_35544.csv,5
232_MGAB_id_8_Synthetic_tr_25000_1st_32708.csv,2
233_MGAB_id_9_Synthetic_tr_25000_1st_41300.csv,2
234_SED_id_1_Medical_tr_3740_1st_3840.csv,6
236_SED_id_3_Medical_tr_3740_1st_3840.csv,6
237_SVDB_id_1_Medical_tr_11587_1st_11687.csv,3
238_SVDB_id_2_Medical_tr_25000_1st_71963.csv,4
239_SVDB_id_3_Medical_tr_50000_1st_106634.csv,2
240_SVDB_id_4_Medical_tr_18462_1st_18562.csv,2
241_SVDB_id_5_Medical_tr_11587_1st_11687.csv,3
243_SVDB_id_7_Medical_tr_11393_1st_11493.csv,5
244_SVDB_id_8_Medical_tr_17803_1st_17903.csv,1
245_SVDB_id_9_Medical_tr_12607_1st_12707.csv,2
246_SVDB_id_10_Medical_tr_20100_1st_68460.csv,2
247_SVDB_id_11_Medical_tr_20100_1st_23611.csv,4
248_SVDB_id_12_Medical_tr_18462_1st_18562.csv,4
249_SVDB_id_13_Medical_tr_50000_1st_54982.csv,4
250_SVDB_id_14_Medical_tr_50000_1st_107354.csv,2
251_SVDB_id_15_Medical_tr_5421_1st_5521.csv,6
253_SVDB_id_17_Medical_tr_17803_1st_17903.csv,1
254_SVDB_id_18_Medical_tr_30824_1st_30924.csv,2
255_SVDB_id_19_Medical_tr_50000_1st_54982.csv,6
256_SVDB_id_20_Medical_tr_6264_1st_6364.csv,6
257_TAO_id_1_Environment_tr_500_1st_3.csv,6
258_TAO_id_2_Environment_tr_500_1st_4.csv,6
260_IOPS_id_1_WebService_tr_5000_1st_11804.csv,1
261_IOPS_id_2_WebService_tr_2178_1st_2278.csv,2
262_IOPS_id_3_WebService_tr_7028_1st_7128.csv,3
263_IOPS_id_4_WebService_tr_3482_1st_3582.csv,3
264_IOPS_id_5_WebService_tr_11665_1st_11765.csv,1
266_IOPS_id_7_WebService_tr_4010_1st_4110.csv,4
267_IOPS_id_8_WebService_tr_1534_1st_1882.csv,4
268_IOPS_id_9_WebService_tr_6216_1st_6316.csv,4
269_IOPS_id_10_WebService_tr_1216_1st_1728.csv,4
271_IOPS_id_12_WebService_tr_500_1st_341.csv,4
272_IOPS_id_13_WebService_tr_3442_1st_3542.csv,3
273_IOPS_id_14_WebService_tr_5569_1st_5669.csv,3
274_IOPS_id_15_WebService_tr_4591_1st_4691.csv,1
275_IOPS_id_16_WebService_tr_1482_1st_1582.csv,3
276_IOPS_id_17_WebService_tr_19197_1st_19297.csv,4
277_NEK_id_1_WebService_tr_500_1st_17.csv,3
278_NEK_id_2_WebService_tr_500_1st_64.csv,4
279_NEK_id_3_WebService_tr_500_1st_974.csv,5
281_NEK_id_5_WebService_tr_500_1st_974.csv,5
282_NEK_id_6_WebService_tr_500_1st_64.csv,4
283_NEK_id_7_WebService_tr_500_1st_777.csv,1
284_NEK_id_8_WebService_tr_500_1st_976.csv,5
285_NEK_id_9_WebService_tr_500_1st_780.csv,2
286_CATSv2_id_1_Sensor_tr_17792_1st_17892.csv,3
287_TODS_id_1_Synthetic_tr_500_1st_11.csv,1
288_TODS_id_2_Synthetic_tr_500_1st_65.csv,5
289_TODS_id_3_Synthetic_tr_500_1st_26.csv,4
290_TODS_id_4_Synthetic_tr_500_1st_26.csv,2
292_TODS_id_6_Synthetic_tr_500_1st_11.csv,4
293_TODS_id_7_Synthetic_tr_500_1st_7.csv,4
294_TODS_id_8_Synthetic_tr_500_1st_200.csv,2
295_TODS_id_9_Synthetic_tr_1250_1st_2046.csv,6
296_TODS_id_10_Synthetic_tr_500_1st_26.csv,5
297_TODS_id_11_Synthetic_tr_500_1st_7.csv,1
298_TODS_id_12_Synthetic_tr_500_1st_0.csv,2
299_TODS_id_13_Synthetic_tr_500_1st_65.csv,3
301_TODS_id_15_Synthetic_tr_500_1st_245.csv,4
302_Power_id_1_Facility_tr_7685_1st_7785.csv,5
304_UCR_id_2_Medical_tr_2499_1st_7000.csv,4
307_UCR_id_5_Facility_tr_29895_1st_39240.csv,6
309_UCR_id_7_Medical_tr_3000_1st_5948.csv,6
310_UCR_id_8_HumanActivity_tr_2631_1st_8285.csv,6
311_UCR_id_9_HumanActivity_tr_16000_1st_38400.csv,6
313_UCR_id_11_Sensor_tr_2827_1st_4711.csv,6
315_UCR_id_13_HumanActivity_tr_16000_1st_33070.csv,6
316_UCR_id_14_Sensor_tr_2833_1st_5988.csv,6
319_UCR_id_17_Environment_tr_6166_1st_19280.csv,3
326_UCR_id_24_Medical_tr_1875_1st_4187.csv,4
331_UCR_id_29_Facility_tr_50000_1st_837400.csv,6
332_UCR_id_30_Facility_tr_13750_1st_52600.csv,4
334_UCR_id_32_HumanActivity_tr_1671_1st_2764.csv,5
339_UCR_id_37_Sensor_tr_2750_1st_5400.csv,4
341_UCR_id_39_HumanActivity_tr_48812_1st_128430.csv,6
344_UCR_id_42_Sensor_tr_2851_1st_5365.csv,2
346_UCR_id_44_Medical_tr_7456_1st_17390.csv,1
349_UCR_id_47_Facility_tr_29954_1st_74900.csv,6
355_UCR_id_53_HumanActivity_tr_48750_1st_143411.csv,6
358_UCR_id_56_Facility_tr_10500_1st_29080.csv,6
361_UCR_id_59_Medical_tr_3000_1st_7175.csv,1
364_UCR_id_62_Sensor_tr_2833_1st_5988.csv,6
369_UCR_id_67_Sensor_tr_2750_1st_5400.csv,4
371_UCR_id_69_Medical_tr_1853_1st_6200.csv,1
373_UCR_id_71_Sensor_tr_2827_1st_5988.csv,4
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,4
382_UCR_id_80_Medical_tr_7500_1st_11800.csv,4
385_UCR_id_83_Environment_tr_2046_1st_6006.csv,4
387_UCR_id_85_Environment_tr_2046_1st_5549.csv,5
391_UCR_id_89_Medical_tr_1875_1st_5759.csv,4
393_UCR_id_91_Environment_tr_2046_1st_4852.csv,6
396_UCR_id_94_Medical_tr_1875_1st_5607.csv,5
400_UCR_id_98_Environment_tr_2046_1st_5391.csv,6
401_UCR_id_99_HumanActivity_tr_1671_1st_5920.csv,4
405_UCR_id_103_Sensor_tr_2827_1st_5988.csv,6
406_UCR_id_104_Facility_tr_20000_1st_67950.csv,1
411_UCR_id_109_Environment_tr_2046_1st_4852.csv,6
415_UCR_id_113_Medical_tr_3000_1st_8612.csv,6
417_UCR_id_115_Sensor_tr_2750_1st_5400.csv,4
419_UCR_id_117_Facility_tr_3000_1st_6168.csv,1
420_UCR_id_118_Facility_tr_13750_1st_52600.csv,3
421_UCR_id_119_HumanActivity_tr_48750_1st_130700.csv,2
426_UCR_id_124_Sensor_tr_2827_1st_4711.csv,6
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,5
432_UCR_id_130_Facility_tr_23000_1st_26970.csv,6
436_UCR_id_134_Medical_tr_1875_1st_4526.csv,5
437_UCR_id_135_Medical_tr_2499_1st_8000.csv,6
439_UCR_id_137_HumanActivity_tr_48750_1st_110800.csv,4
445_UCR_id_143_Environment_tr_6166_1st_19280.csv,4
449_UCR_id_147_Sensor_tr_2847_1st_9330.csv,4
452_UCR_id_150_Facility_tr_10000_1st_35774.csv,3
459_UCR_id_157_HumanActivity_tr_50000_1st_110260.csv,6
463_UCR_id_161_Environment_tr_2046_1st_6006.csv,4
467_UCR_id_165_Environment_tr_6166_1st_19280.csv,4
471_UCR_id_169_Facility_tr_10000_1st_35774.csv,4
473_UCR_id_171_HumanActivity_tr_2617_1st_7290.csv,6
474_UCR_id_172_Environment_tr_2046_1st_6520.csv,6
493_UCR_id_191_Sensor_tr_2847_1st_9330.csv,4
494_UCR_id_192_Facility_tr_22500_1st_72150.csv,6
495_UCR_id_193_Environment_tr_2046_1st_6520.csv,6
496_UCR_id_194_Environment_tr_2046_1st_5391.csv,6
499_UCR_id_197_Environment_tr_2046_1st_5703.csv,6
500_UCR_id_198_Facility_tr_7482_1st_23357.csv,6
504_UCR_id_202_Environment_tr_2046_1st_5549.csv,6
506_UCR_id_204_Environment_tr_2046_1st_5549.csv,2
516_UCR_id_214_HumanActivity_tr_2108_1st_4702.csv,6
517_UCR_id_215_Facility_tr_7482_1st_24005.csv,6
525_UCR_id_223_Facility_tr_50000_1st_250720.csv,6
526_UCR_id_224_Sensor_tr_2827_1st_4711.csv,6
530_UCR_id_228_HumanActivity_tr_16250_1st_38500.csv,6
531_SMAP_id_1_Sensor_tr_1811_1st_4510.csv,1
532_SMAP_id_2_Sensor_tr_2075_1st_5550.csv,1
533_SMAP_id_3_Sensor_tr_2052_1st_5300.csv,1
534_SMAP_id_4_Sensor_tr_1968_1st_4370.csv,1
536_SMAP_id_6_Sensor_tr_2160_1st_5600.csv,2
537_SMAP_id_7_Sensor_tr_2077_1st_5394.csv,2
538_SMAP_id_8_Sensor_tr_2007_1st_3650.csv,1
539_SMAP_id_9_Sensor_tr_1857_1st_4270.csv,2
540_SMAP_id_10_Sensor_tr_2051_1st_4575.csv,3
541_SMAP_id_11_Sensor_tr_1832_1st_5300.csv,6
542_SMAP_id_12_Sensor_tr_1908_1st_4690.csv,4
544_SMAP_id_14_Sensor_tr_1978_1st_4450.csv,1
545_SMAP_id_15_Sensor_tr_1173_1st_2750.csv,1
546_SMAP_id_16_Sensor_tr_2117_1st_4770.csv,6
547_SMAP_id_17_Sensor_tr_2133_1st_5400.csv,5
548_SMAP_id_18_Sensor_tr_2094_1st_5600.csv,6
549_SMAP_id_19_Sensor_tr_1998_1st_2098.csv,2
550_SWaT_id_1_Sensor_tr_43700_1st_43800.csv,4
551_YAHOO_id_1_Synthetic_tr_500_1st_893.csv,1
552_YAHOO_id_2_Synthetic_tr_500_1st_893.csv,1
555_YAHOO_id_5_WebService_tr_500_1st_730.csv,4
558_YAHOO_id_8_WebService_tr_500_1st_1125.csv,6
562_YAHOO_id_12_Synthetic_tr_500_1st_893.csv,1
570_YAHOO_id_20_Synthetic_tr_500_1st_658.csv,2
571_YAHOO_id_21_Synthetic_tr_500_1st_623.csv,2
579_YAHOO_id_29_WebService_tr_500_1st_1342.csv,4
603_YAHOO_id_53_Synthetic_tr_500_1st_893.csv,1
644_YAHOO_id_94_WebService_tr_500_1st_1078.csv,5
645_YAHOO_id_95_WebService_tr_500_1st_1047.csv,3
649_YAHOO_id_99_WebService_tr_500_1st_1386.csv,4
657_YAHOO_id_107_WebService_tr_500_1st_1260.csv,1
658_YAHOO_id_108_Synthetic_tr_500_1st_893.csv,1
672_YAHOO_id_122_WebService_tr_500_1st_857.csv,3
680_YAHOO_id_130_Synthetic_tr_500_1st_893.csv,1
689_YAHOO_id_139_WebService_tr_500_1st_1073.csv,3
693_YAHOO_id_143_WebService_tr_500_1st_1003.csv,1
701_YAHOO_id_151_Synthetic_tr_500_1st_893.csv,2
723_YAHOO_id_173_WebService_tr_500_1st_1214.csv,3
724_YAHOO_id_174_WebService_tr_500_1st_1030.csv,3
734_YAHOO_id_184_WebService_tr_500_1st_768.csv,5
741_YAHOO_id_191_WebService_tr_500_1st_1114.csv,3
755_YAHOO_id_205_Synthetic_tr_500_1st_893.csv,1
762_YAHOO_id_212_WebService_tr_500_1st_1055.csv,5
780_YAHOO_id_230_Synthetic_tr_500_1st_893.csv,1
788_YAHOO_id_238_WebService_tr_500_1st_973.csv,1
797_YAHOO_id_247_Synthetic_tr_500_1st_893.csv,4
806_YAHOO_id_256_Synthetic_tr_500_1st_893.csv,2
807_YAHOO_id_257_WebService_tr_500_1st_1210.csv,2
810_Exathlon_id_1_Facility_tr_10766_1st_12590.csv,5
811_Exathlon_id_2_Facility_tr_10766_1st_12590.csv,5
812_Exathlon_id_3_Facility_tr_10766_1st_12590.csv,3
814_Exathlon_id_5_Facility_tr_10766_1st_12590.csv,1
815_Exathlon_id_6_Facility_tr_10766_1st_12590.csv,3
816_Exathlon_id_7_Facility_tr_10766_1st_12590.csv,6
817_Exathlon_id_8_Facility_tr_10766_1st_12590.csv,6
818_Exathlon_id_9_Facility_tr_11665_1st_13484.csv,1
819_Exathlon_id_10_Facility_tr_10766_1st_12590.csv,5
820_Exathlon_id_11_Facility_tr_11665_1st_13484.csv,6
821_Exathlon_id_12_Facility_tr_6985_1st_7085.csv,5
822_Exathlon_id_13_Facility_tr_10766_1st_12590.csv,1
823_Exathlon_id_14_Facility_tr_10766_1st_12590.csv,4
824_Exathlon_id_15_Facility_tr_10766_1st_12590.csv,5
826_Exathlon_id_17_Facility_tr_11665_1st_13484.csv,4
827_Exathlon_id_18_Facility_tr_10766_1st_12590.csv,1
828_Exathlon_id_19_Facility_tr_11663_1st_13482.csv,5
829_Exathlon_id_20_Facility_tr_10766_1st_12590.csv,6
830_Exathlon_id_21_Facility_tr_10766_1st_12590.csv,5
831_Exathlon_id_22_Facility_tr_11665_1st_13484.csv,6
832_Exathlon_id_23_Facility_tr_10766_1st_12590.csv,1
833_Exathlon_id_24_Facility_tr_10766_1st_12590.csv,3
834_Exathlon_id_25_Facility_tr_11665_1st_13484.csv,6
835_Exathlon_id_26_Facility_tr_10766_1st_12590.csv,5
836_Exathlon_id_27_Facility_tr_10766_1st_12590.csv,3
837_Exathlon_id_28_Facility_tr_8898_1st_8998.csv,5
838_Exathlon_id_29_Facility_tr_10766_1st_12590.csv,6
839_Exathlon_id_30_Facility_tr_10766_1st_12590.csv,6
840_Exathlon_id_31_Facility_tr_10766_1st_12590.csv,2
841_Exathlon_id_32_Facility_tr_11663_1st_13482.csv,5
842_OPPORTUNITY_id_1_HumanActivity_tr_7295_1st_27516.csv,5
843_OPPORTUNITY_id_2_HumanActivity_tr_808_1st_908.csv,6
844_OPPORTUNITY_id_3_HumanActivity_tr_500_1st_566.csv,5
845_OPPORTUNITY_id_4_HumanActivity_tr_7295_1st_27516.csv,6
846_OPPORTUNITY_id_5_HumanActivity_tr_2085_1st_2185.csv,4
847_OPPORTUNITY_id_6_HumanActivity_tr_808_1st_908.csv,5
848_OPPORTUNITY_id_7_HumanActivity_tr_1477_1st_1577.csv,5
849_OPPORTUNITY_id_8_HumanActivity_tr_1100_1st_1200.csv,4
850_OPPORTUNITY_id_9_HumanActivity_tr_895_1st_995.csv,6
851_OPPORTUNITY_id_10_HumanActivity_tr_6213_1st_7311.csv,6
853_OPPORTUNITY_id_12_HumanActivity_tr_808_1st_908.csv,6
854_OPPORTUNITY_id_13_HumanActivity_tr_1477_1st_1577.csv,6
855_OPPORTUNITY_id_14_HumanActivity_tr_808_1st_908.csv,4
856_OPPORTUNITY_id_15_HumanActivity_tr_808_1st_908.csv,5
857_OPPORTUNITY_id_16_HumanActivity_tr_500_1st_566.csv,4
858_OPPORTUNITY_id_17_HumanActivity_tr_808_1st_908.csv,5
859_OPPORTUNITY_id_18_HumanActivity_tr_895_1st_995.csv,4
860_OPPORTUNITY_id_19_HumanActivity_tr_808_1st_908.csv,5
861_OPPORTUNITY_id_20_HumanActivity_tr_2085_1st_2185.csv,5
862_OPPORTUNITY_id_21_HumanActivity_tr_500_1st_566.csv,5
863_OPPORTUNITY_id_22_HumanActivity_tr_808_1st_908.csv,4
865_OPPORTUNITY_id_24_HumanActivity_tr_2085_1st_2185.csv,4
866_OPPORTUNITY_id_25_HumanActivity_tr_6213_1st_7311.csv,5
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,4
868_OPPORTUNITY_id_27_HumanActivity_tr_2085_1st_2185.csv,6
869_OPPORTUNITY_id_28_HumanActivity_tr_500_1st_566.csv,5
870_OPPORTUNITY_id_29_HumanActivity_tr_1477_1st_1577.csv,3